Products,aws_eng_name,aws_chn_name,eng_description,chn_description,
Analytics/分析,Amazon Athena,雅典娜,"An interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL.
Athena is serverless so there is no infrastructure to manage",使用 SQL 在 S3 中查询数据,
,Amazon CloudSearch,云搜,"A simple and cost-effective service to set up, manage, and scale a search solution for your website or application automaticaly",托管型搜索服务,
,Amazon Elasticsearch Service,弹性搜索服务,"Makes it easy for you to deploy, secure, and operate Elasticsearch at scale with zero down time
Offers open-source Elasticsearch APIs, managed Kibana, and integrations with Logstash and other AWS Services, enabling you to securely ingest data from any source and search, analyze, and visualize it in real time.",运行和扩展 Elasticsearch 集群,
,Amazon EMR,？,"An industry-leading cloud big data platform for processing vast amounts of data using open source tools such as Apache Spark, Apache Hive, Apache HBase, Apache Flink, Apache Hudi, and Presto. ",托管式 Hadoop 框架,
,Amazon Kinesis,跃动流媒体服务,"Makes it easy to collect, process, and analyze real-time, streaming data so you can get timely insights and react quickly to new information
Offers key capabilities to cost-effectively process streaming data at any scale, along with the flexibility to choose the tools that best suit the requirements of your application
You can ingest real-time data such as video, audio, application logs, website clickstreams, and IoT telemetry data for machine learning, analytics, and other applications.",实时轻松收集、处理和分析视频和数据流,
,Amazon Managed Streaming for Apache Kafka (Amazon MSK),Apache Kafka流媒体管理服务,"Makes it easy for you to build and run applications that use Apache Kafka to process streaming data
An open-source platform for building real-time streaming data pipelines and applications
You can use Apache Kafka APIs to populate data lakes, stream changes to and from databases, and power machine learning and analytics applications.",完全托管型 Apache Kafka 服务,
,Amazon Redshift,红移,"A fast, scalable data warehouse that makes it simple and cost-effective to analyze all your data across your data warehouse and data lake.
Delivers ten times faster performance than other data warehouses by using machine learning, massively parallel query execution, and columnar storage on high-performance disk",便捷、简易且经济高效的数据仓库,
,Amazon QuickSight,迅界/快视,"Makes it easy to deliver insights to everyone in your organization.
Lets you easily create and publish interactive dashboards that include ML Insights.
Dashboards can then be accessed from any device, and embedded into your applications, portals, and websites.",针对云而构建的可扩展、无服务器、可嵌入且采用 ML 支持的 BI 服务,
,AWS Data Exchange,数据交换,"A service that makes it easy for AWS customers to find, subscribe to and use third-party data in the cloud.",查找、订阅和使用云端第三方数据,
,AWS Data Pipeline,数据工作流,"A web service that helps you reliably process and move data between different AWS compute and storage services, as well as on-premises data sources, at specified intervals
You can regularly access your data where it’s stored, transform and process it at scale, and efficiently transfer the results to AWS services
Helps you easily create complex data processing workloads that are fault tolerant, repeatable, and highly available.",适用于周期性数据驱动工作流的编排服务,
,AWS Glue,胶水,"Extract, transform, and load (ETL) service that makes it easy for customers to prepare and load their data for analytics
You can create and run an ETL job with a few clicks in the AWS Management Console. You simply point AWS Glue to your data stored on AWS, and AWS Glue discovers your data and stores the associated metadata (e.g. table definition and schema) in the AWS Glue Data Catalog",简单、可扩展的无服务器数据集成,
,AWS Lake Formation,数据湖生成,"Makes it easy to set up a secure data lake in days.
Lake Formation collects and catalogs data from databases and object storage, moves the data into your new Amazon S3 data lake, cleans and classifies data using machine learning algorithms, and secures access to your sensitive data.",在数天内构建安全的数据湖,
,,,,,
Application Integration/应用程序集成,AWS Step Functions针对分布式应用程序的协调服务,,"Lets you coordinate multiple AWS services into serverless workflows so you can build and update apps quickly
You can design and run workflows that stitch together services such as AWS Lambda and Amazon ECS into feature-rich applications.",,
,Amazon AppFlowSaaS 应用程序与 AWS 服务的无代码集成,,,,
,Amazon EventBridge适用于 SaaS 应用程序和 AWS 服务的无服务器事件总线,,,,
,Amazon Managed Workflows for Apache Airflow高度可用且安全的托管工作流程编排,,,,
,Amazon MQ托管消息代理服务,,,,
,Amazon Simple Notification Service (SNS)发布/订阅短信、电子邮件和移动推送通知,,,,
,Amazon Simple Queue Service (SQS)托管型消息队列,,,,
,AWS AppSync使用多个来源的恰当数据，为您的应用程序提供大规模支持,,,,
,,,,,
AWS Cost Management/AWS 成本管理,AWS Cost Explorer分析您的 AWS 成本和使用率,,,,
,AWS 预算设置自定义成本和使用率预算,,,,
,AWS 成本和使用情况报告获取全面的成本和使用率信息,,,,
,预留实例报告深入了解您的预留实例 (RI),,,,
